ID,Date,Source,Title,Authors,URL,Type,Ideology,TacticalActor,OperationalTarget,TacticMO,Location,Summary,Analyst
234,24/12/24,3,Armed men open fire on journalists during reopening of Haiti hospital,,https://www.aljazeera.com/news/2024/12/24/armed-men-open-fire-on-journalists-during-reopening-of-haiti-hospital,5,19,74,9;11;14,2,73,"Armed men have opened fire on a group of journalists in Haiti who had gathered to cover the reopening of the capital’s largest public hospital. While authorities have not offered details on casualties from the attack on Tuesday, the Reuters news agency reported that two journalists and a police officer were killed, citing a journalist who witnessed the attack and asked not to be named.",3
235,24/12/24,4,Ex-Israeli agents reveal how pager attacks were carried out,Raffi Berg,https://www.bbc.com/news/articles/cwy3l02wxqdo,4,13,71,4;19,1,95,"INFO DUMP ABOUT PREVIOUS PAGER INCIDENT ON SEP 7. Two former Israeli intelligence agents have revealed how members of the Lebanese Shia militant group Hezbollah used Israeli made walkie-talkies booby-trapped with explosives for 10 years before they were detonated in a surprise attack in September this year. On 17 September this year, thousands of pagers simultaneously exploded across Lebanon. The following day walkie-talkies exploded in the same way, killing and injuring hundreds more. He said Hezbollah had unwittingly bought over 16,000 walkie-talkies at ""a good price"" from a fake company 10 years ago. ""We have an incredible array of possibilities of creating foreign companies that have no way of being traced back to Israel,"" Michael said. ""Shell companies over shell companies to affect the supply chain to our favour. The operation expanded two years ago to include pagers, CBS said. Mossad said it found that at the time Hezbollah was buying pagers from a Taiwanese company called Gold Apollo. It set up a fake company which used the Gold Apollo name on pagers rigged with explosives, without the parent company realising. ""When they are buying from us, they have zero clue that they are buying from the Mossad,"" he said. ""We make like [movie] Truman Show, everything is controlled by us behind the scene."" Hezbollah had bought 5,000 of the booby-trapped pagers by September 2024, CBS reported.",3
236,27/12/24,4,Finland investigates Russia 'shadow fleet' ship after cable damage,Cachella Smith,https://www.bbc.com/news/articles/cr56l7prj2mo,5,19,74,4,13,56;60,"UNCONFIRMED IF AN ATTACK OR ACCIDENT AT THIS STAGE. Finnish police are investigating whether a Russian ship was involved in the sabotage of an electricity cable running between Finland and Estonia. The authorities said on Thursday that they believe the anchor of the Eagle S, a tanker registered with the Cook Islands, may have damaged the Estlink 2 cable, which became disconnected on Wednesday. The vessel is thought to be part of Russia's ""shadow fleet"", which is made up of ships that carry embargoed Russian oil products.",3
237,27/12/24,4,Assad loyalists kill 14 in clash with Syria's new ruling forces - authorities,Jaroslav Lukiv & Lina Sinjab,https://www.bbc.com/news/articles/c0ew5g3vzreo,5,18;19,74,19,2,170,"Syria's new rebel-led authorities say supporters of ousted President Bashar al-Assad have killed 14 interior ministry troops in an ""ambush"" in the west of the country. They say 10 other troops were wounded in the fighting on Tuesday near the Mediterranean port of Tartous, a stronghold of Assad's minority Alawite Muslim sect. The clashes with pro-Assad loyalists are the first direct challenge to the authority of Syria's de facto leader Ahmad al-Sharaa. Security forces launched an operation in Tartous province on Thursday, according to state news agency Sana, in a bid to ""restore security, stability and civil peace"". Reports say the security forces had earlier been ambushed as they tried to arrest a former officer in connection to his role at the notorious Saydnaya prison, close to the capital, Damascus.",3
238,28/12/24,3,Afghan Taliban hit ‘several points’ in Pakistan in retaliation for attacks,,https://www.aljazeera.com/news/2024/12/28/afghan-taliban-hit-several-points-in-pakistan-in-retaliation-for-attacks,4,13,71,21,13,132,"Afghan Taliban forces have targeted “several points” in neighbouring Pakistan, Afghanistan’s Ministry of Defense said, days after Pakistani aircraft carried out aerial bombardments inside the country. The statement from the defence ministry on Saturday did not directly specify that Pakistan was hit, but said the attacks were conducted “beyond the ‘hypothetical line'” – an expression used by Afghan authorities to refer to a border with Pakistan that they have long disputed. No details of casualties or specific areas targeted were provided. The Pakistani military’s public relations wing and a spokesperson for the Ministry of Foreign Affairs did not immediately respond to requests for comment.",3
239,29/12/24,1,Putin apologises to Azerbaijan without claiming responsibility for plane crash,,https://www.abc.net.au/news/2024-12-29/putin-tells-azerbaijan-leader-russian-air-defence-active-at-time/104768520,5,19,74,1,1,143,"Vladimir Putin said Russian air defence was active when an Azerbaijani Airlines plane tried to land in Russia's south before it crashed, according to the Kremlin. The Russian leader did not claim responsibility for crash, which killed 38 people on Wednesday. The European Union's top diplomat has called for an independent probe into the crash. Russian leader Vladimir Putin has told Azerbaijan's President Ilham Aliyev that Russian air defence was active when an Azerbaijani Airlines plane tried to land in Russia's south before it crashed on Wednesday, the Kremlin said.",3
240,30/12/24,3,Kenya police fire tear gas at protest against alleged government abductions,,https://www.aljazeera.com/news/2024/12/30/kenya-police-fire-tear-gas-at-protest-against-alleged-government-abductions,3,19,74,14,13,89,"Police in Kenya’s capital Nairobi have fired tear gas to disperse protesters demonstrating against what they say is a wave of unexplained abductions of government critics. Dozens of Kenyans have been abducted in recent months, according to human rights groups, who blame the extrajudicial arrests on Kenya’s police and intelligence services. Kenyan authorities have said the government does not condone or engage in extrajudicial killings or abductions.",3
241,30/12/24,3,China blamed by US for Treasury Department hack,,https://www.aljazeera.com/news/2024/12/30/china-blamed-by-us-for-treasury-department-hack,4,13,71,21,5,185,"Chinese state-sponsored hackers were able to steal unclassified documents from United States Treasury workstations earlier this month, the US Treasury Department said. China denied the allegation on Tuesday calling it “groundless”. Hackers were able to compromise a third-party cybersecurity service provider and gain access to the documents in a “major incident”, the department said on Monday.",3
242,31/12/24,1,Finnish police find anchor drag marks on Baltic seabed after suspicious cable damage,Lewis Wiseman,https://www.abc.net.au/news/2024-12-31/finland-find-anchor-drag-mark-in-baltic-sea/104775072,5,19,74,7,12,60,"Finnish investigators probing the damage to a Baltic Sea power cable say they found an anchor drag mark on the seabed, apparently from a Russia-linked vessel that has already been seized. The owner of the oil tanker is seeking the release of the ship, a lawyer representing the company says. Finland's National Bureau of Investigation (NBI) said the anchor marks were likely from a Russia-linked vessel that had already been seized on suspicion of breaking the undersea cables. NBI's chief investigator Sami Paila said the anchor drag trail extended for ""dozens of kilometres … if not almost 100 kilometres""",3
243,31/12/24,3,Fierce fighting in Khartoum endangers Sudanese civilians,Mat Nashed,https://www.aljazeera.com/features/2024/12/31/fierce-fighting-in-khartoum-endangers-sudanese-civilians,1,13;19,71;72,14;15,1;2,166,"Sudanese army vs Rapid Support Forces (RSF) - On December 9, an army air attack hit a fuel station in Sudan’s capital, Khartoum, killing at least 28 people and injuring scores. The army said it was targeting fighters from the Rapid Support Forces (RSF), a paramilitary group that it has been at war with since April 2023. Speaking weeks after the attack, Mohamed Kandasha, a medic in the area, remembers treating people with severe burns at a nearby hospital.",3
244,1/1/2025,1,FBI says it has made 'largest seizure of explosives' in its history after raid on US farm,Luke Cooper,https://www.abc.net.au/news/2025-01-01/fbi-makes-largest-seizure-of-explosives-in-its-history/104776696,2,19,70,21,9,185,"The FBI says it has seized the largest collection of explosives uncovered in the United States agency's history. It is alleged more than 150 homemade bombs, a jar of highly explosive material and a notebook filled with ""recipes"" for making explosives were found in a raid on a farm in Virginia. Agents allegedly found the explosives while searching the family home of 36-year-old machine shop worker Brad Spafford on December 17, after being tipped off by a neighbour that he was stockpiling weapons and homemade ammunition. The court document said some explosives were assessed by FBI agents as pipe bombs which were mostly found ""in a detached garage, organised by colour"" and others were located in a backpack in a bedroom, which Mr Spafford shares with his wife and two young children. The backpack had been labelled ""#nolivesmatter"", the court filing alleged. The court document alleged that Mr Spafford had used pictures of President Joe Biden for shooting target practice at a local shooting range and ""stated that he believed political assassinations should be brought back.""",3
245,1/1/2025,1,New Zealand police officer killed after being hit by car in Nelson,,https://www.abc.net.au/news/2025-01-01/new-zealand-police-officer-killed-by-car-in-nelson/104777004,2,19,70,9,12,124,"One New Zealand police officer has died and another seriously injured after they were hit by a car early on New Year's Day, the country's police chief says. The vehicle drove into the officers 'at speed' while they were on foot in a parking lot in the South Island city of Nelson, before the driver turned and rammed a police car. A 32-year-old man has been arrested, charged and is expected to appear in court on Friday.",3
246,1/1/2025,1,"At least 15 killed, 30 injured as driver crashes truck into New Orleans crowd",,https://www.abc.net.au/news/2025-01-01/at-least-15-killed-as-truck-crashes-into-new-orleans-crowd/104778048,1,9,33;74,14,12,185,"ISIS Flag on vehicle with IEDs inside. At least 15 people have been killed and 30 more injured after a vehicle ploughed into a group of people in New Orleans. The FBI is now investigating the crash as a terrorist act, naming the driver as Shamsud-Din Jabbar, a US citizen from Texas. The FBI is ""aggressively"" searching for associates of Jabbar and believes he did not act alone. He drove into the crowd about 3:15am local time on New Year's Day in the city's famed Bourbon Street area. The FBI is treating the attack as an act of terrorism. It said an ISIS flag was attached to the Ford truck and improvised explosive devices (IEDs) were inside it.",3
247,2/1/2025,1,What we know about the New Orleans truck attack,Brad Ryan,https://www.abc.net.au/news/2025-01-02/new-orleans-truck-attack-bourbon-street-what-we-know/104778168,1,9,33,14,2;12,185,"The FBI says the driver was a 42-year-old army veteran from Texas, and an Islamic State flag was attached to the tow bar of his truck. Police said the driver drove around a barrier and onto a footpath and tried to ""run over as many people as he possibly could"". He was driving at a ""very fast pace"". He then got out of the truck and started firing a gun. Investigators later found multiple suspected improvised explosive devices (IED) in the truck. ""Other potential IEDs were also located in the French Quarter,"" FBI special agent Alethea Duncan said. ""As of now, two IEDs have been found and rendered safe."" He was a US citizen from Texas. He served in the US Army for 13 years and was deployed to Afghanistan for a year in 2009, an army official told Reuters. He served first as an HR specialist and an IT specialist from 2007 until 2015. He then joined the Army Reserve as an IT specialist until 2020, holding the rank of staff sergeant at the end of service, according to the official. In the hours before the attack, Jabbar posted videos to social media indicating that he was inspired by the ISIS terrorist group, US President Joe Biden said, citing the FBI. ""An ISIS flag was located in the vehicle, and the FBI is working to determine the subject's potential associations and affiliations with terrorist organisations,"" it said in a statement.",3
248,2/1/2025,1,One dead after Tesla Cybertruck explodes outside Trump's Las Vegas hotel,,https://www.abc.net.au/news/2025-01-02/tesla-cybertruck-explodes-outside-of-trump-las-vegas-hotel/104778394,2,19,70,14,1;14,185,"One person has died after a Tesla Cybertruck caught fire and exploded outside president-elect Donald Trump's Las Vegas hotel, authorities said. Another seven people nearby received minor injuries and were taken to a hospital for treatment. Tesla CEO Elon Musk said the blast was not related to the vehicle, but was caused by fireworks or a bomb. ""Obviously a Cybertruck, the Trump hotel — there's lots of questions that we have to answer,"" Las Vegas Metropolitan Police Department Sheriff Kevin McMahill said at a press conference. He said canisters of gasoline and camp fuel, as well as firework materials were found in the back of the truck. FBI special agent in charge Jeremy Schwartz said it was not yet clear whether the blast was an act of terrorism.",3
249,2/2/2025,1,Gunman kills 12 people in mass shooting in small Montenegro town,,https://www.abc.net.au/news/2025-01-02/montenegro-gunman-kills-12-people/104778676,2,19,74,14,2,116,"A gunman has killed 12 people, including two children, in the Balkan nation of Montenegro. The shooter, identified as a 45-year-old man, also died from injuries after attempting suicide following the shootings. A 45-year-old man, identified by police as Aleksandar Martinovic, died from injuries on Thursday after attempting suicide following the shootings, the country's interior minister Danilo Saranovic said. Martinovic opened fire at a restaurant in the town of Cetinje on Wednesday, where he killed four people. The shooter moved on to three other locations, gunning down a family member, two children and three other people, police said, with four more people suffering life-threatening injuries.",3
250,2/1/2025,1,What we know about the Cybertruck explosion in Las Vegas,Elissa Steedman,https://www.abc.net.au/news/2025-01-02/what-we-know-about-the-cybertruck-explosion-in-las-vegas/104779002,2,19,74,14,1;14,185,"One person died and seven others were injured in the incident. Surveillance video captured at Tesla charging stations shows a 2024 Tesla Cybertruck passing the Trump International Hotel Las Vegas about an hour before the incident. It circled back near the end of that hour and stopped in the valet area of the hotel. Fifteen or 20 seconds later, it caught fire and exploded. Brazilian tourist Ana Bruce, who witnessed the incident, said she heard three explosions. At a press conference, Sheriff Kevin McMahill of the Las Vegas Police Department said ""gasoline canisters, camp fuel canisters and large firework mortars were found in the back of the vehicle"".",3
251,2/1/2025,3,FBI releases timeline of deadly New Orleans truck-ramming attack,,https://www.aljazeera.com/news/2025/1/2/fbi-releases-timeline-of-deadly-new-orleans-truck-ramming-attack,1,9,70,14,2;12,185,"The Federal Bureau of Investigation (FBI) in the United States has released further information about the deadly New Year’s Day car-ramming incident in New Orleans, offering a brief timeline of how the suspect executed his attack. In a news conference on Thursday, Christopher Raia, a deputy assistant director from the FBI’s counterterrorism division, also clarified that only one suspect is currently implicated in the attack: 42-year-old Texas resident Shamsud-Dim Jabbar. “We do not assess at this point that anyone else is involved in this attack except for Shamsud-Dim Jabbar,” Raia said. Though he emphasised the investigation was still in its early stages, he added, “We’re confident at this point that there are no accomplices.”",3
252,3/1/2025,1,FBI now believes New Orleans terrorist acted alone after initial plan to harm family,,https://www.abc.net.au/news/2025-01-03/new-orleans-bourbon-st-truck-attacker-acted-alone-fbi/104780550,1,9,70,14,2;12,185,"The FBI no longer believes Shamsud-Din Jabbar was working with others when he drove a truck through New Orleans crowds in a terrorist attack. Just before the attack, Jabbar posted videos to Facebook, in which he said he had joined ISIS and originally planned to harm his family and friends. Investigators have also found no link between the attack and a truck explosion in Las Vegas, but a connection has not been ruled out.",3
253,3/1/2025,1,Man who died in Cybertruck blast was a decorated US soldier,,https://www.abc.net.au/news/2025-01-03/man-who-died-in-cybertruck-blast-was-in-us-army/104780632,2,19,70,14,1;14,185,"The man who died when a Tesla Cybertruck packed with explosives burst into flames outside president-elect Donald Trump's Las Vegas hotel was a highly decorated US Army Green Beret who deployed twice to Afghanistan, army officials say. Two law enforcement officials identified the man inside the futuristic-looking pick-up truck as Matthew Livelsberger, 37. The FBI said there appeared to be no link between the incident and an attack in New Orleans in which a US Army veteran drove a truck into a crowd of New Year's Day revellers. Clark County Sheriff Kevin McMahill said at a news conference that a handgun was found at the feet of the man who was identified as Livelsberger. Officials believe he killed himself before the blast. Livelsberger was also a supporter of the president-elect throughout the Republican's political career, an anonymous family member told Reuters. ""He thought Trump was the greatest thing in the world,"" the man said.",3
254,3/1/2025,3,Finnish court upholds oil tanker seizure in undersea cables probe,,https://www.aljazeera.com/news/2025/1/3/finnish-court-upholds-oil-tanker-seizure-in-undersea-cables-probe,5,19,74,4;7,12,60,"A Finnish court has denied a request for the release of an oil tanker suspected by police of damaging an undersea power line and four telecommunications cables in the Baltic Sea. Last week, Finland seized the Eagle S tanker carrying Russian oil on suspicion that it damaged the Finnish-Estonian Estlink 2 power line and the telecoms cables the previous day by dragging its anchor across the seabed. A lawyer representing United Arab Emirates-based Caravella LLC FZ, which owns the tanker, had sought the release of the vessel and crew. “This district court has rejected the claim of the defendant, which means that this seizure remains in force,” Helsinki District Court Judge Tatu Koistinen said on Friday.",3
255,4/1/2025,1,Soldier killed in Las Vegas explosion left note saying it was a 'wake-up call' for country's ills,,https://www.abc.net.au/news/2025-01-04/investigators-find-note-by-man-killed-in-cybertruck-explosion/104784248,2,18,70,14,1;14,185,"Investigators say the man who died in a Tesla Cybertruck outside a Trump hotel in Las Vegas, left a note saying the stunt was a ""wake-up call"" for the country's ills. Matthew Livelsberger, 37, also wrote on the note that he needed to ""cleanse my mind"" of the lives lost of people he knew and ""the burden of the lives I took"". Livelsberger apparently harboured no ill will toward president-elect Donald Trump, Clark County sheriff's officials said. ""Although this incident is more public and more sensational than usual, it ultimately appears to be a tragic case of suicide involving a heavily decorated combat veteran who was struggling with PTSD and other issues,"" FBI Special Agent In Charge Spencer Evans said at a news conference. ""This was not a terrorist attack, it was a wakeup call. Americans only pay attention to spectacles and violence. What better way to get my point across than a stunt with fireworks and explosives,"" Livelsberger wrote in a letter found by authorities who released only excerpts of it. Investigators identified the Tesla driver — who was burned beyond recognition — as Livelsberger by a tattoo and by comparing DNA from relatives. The cause of death was a self-inflicted gunshot to the head, according to coroners officials.",3
256,5/1/2025,4,Suspect was pictured in New Orleans before attack - what else do we know?,,https://www.bbc.com/news/articles/c205ek63433o,1,9,70,14,2;12,185,"New surveillance photos released by the FBI allegedly show the perpetrator of a deadly attack walking the streets of New Orleans, Louisiana, before he drove a truck into a crowd, killing fourteen people. At least 35 more were injured after the man carried out an Islamic State (IS)-inspired attack in New Orleans' busy French Quarter during the early hours of New Year's Day. Law enforcement sources told ABC News that Jabbar placed explosive devices in the area before changing clothes and then carrying out the attack. The FBI released a photo that officials say shows a cooler containing an improvised explosive device (IED). Officials have said it was not clear whether Jabbar ever tried to detonate two explosive devices that he brought in coolers before the vehicle attack or whether they malfunctioned.",3
257,5/1/2025,1,One of Russia's 'shadow fleet' may have sabotaged power cables in the Baltic Sea. But what is it?,Lewis Wiseman,https://www.abc.net.au/news/2025-01-05/what-is-russia-shadow-fleet-of-oil-tankers/104779884,5,19,74,4;7,12,60,"The spotlight has been shone on Russia's ""shadow fleet"" following the alleged intentional cutting of underwater power cables in the Baltic Sea near Finland. Vladimir Putin has a collection of hundreds of rusting tankers covertly carrying Russian crude oil around the world, according to the European Union (EU). Russia's use of off-the-books ships began shortly after the EU placed sanctions on the country following the invasion of Ukraine. That shadow fleet is now being used to evade those sanctions and generate revenue to fuel Russia's war, the EU says. Ukraine's President Volodymyr Zelenskyy wants the fleet stopped, as does the EU. But data from the Kyiv-based KSE Institute shows Russia is increasing its use of the shadow fleet.",3
258,6/1/2025,3,"US authorities say New Orleans attacker travelled to Egypt, Canada",,https://www.aljazeera.com/news/2025/1/6/us-authorities-say-new-orleans-attacker-travelled-to-egypt-canada,1,9,33;70,14,2;12,185,"Authorities in the United States are investigating the potential significance of overseas trips made by the man responsible for driving a truck into New Year’s revellers in New Orleans, law enforcement officials have said. Shamsud-Din Jabbar, a US Army veteran who proclaimed his support for ISIL (ISIS) in videos posted online before the attack, visited Egypt and Canada in the summer of 2023, an FBI official said on Sunday. Jabbar also made at least two trips to New Orleans, in October and November, officials said. On his first visit, he rode a bicycle around the city’s French Quarter, where the attack was carried out, while recording the scene with Meta smart glasses, according to police.",3
259,6/1/2025,1,Undersea cable near Taiwan damaged in suspected sabotage by China,Najma Sambul,https://www.abc.net.au/news/2025-01-06/undersea-cable-near-taiwan-damaged-in-suspected-sabotage/104788140,4,13;19,71;74,4,12,195,"An undersea cable off the coast of Taiwan was damaged on January 3, allegedly by the Shunxin-39, a Cameroonian-registered cargo ship with suspected links to mainland China. The incident follows the alleged maritime sabotage of undersea cables and pipelines in the Baltic Sea. Taiwan is investigating the case and accelerating efforts to bolster telecom infrastructure with satellite systems. While the Shunxin-39 is registered in Cameroon, Taiwanese officials suspect it is owned by a Hong Kong-based entity with ties to mainland China. The Coast Guard Administration (CGA) and Chunghwa Telecom have blamed the Shunxin-39, a reportedly Chinese-owned ship registered in Cameroon.",3
1,30/11/2024,2,"Rebels take control of Aleppo: ‘Total collapse’ of Syrian regime, specialist says",,https://www.france24.com/en/video/20241130-rebels-take-control-of-aleppo-total-collapse-of-syrian-regime,1,9,71;73,15;19,1;2,170,"Overnight, the rebel forces have assumed significant control of Aleppo. The attack is described as a ""total collapse of the Syrian regime forces"". The likely resolution is describe as severe airforces disproportionately affecting civilian areas.",4
2,30/11/2024,2,Rebel forces claim Aleppo: ‘Preoccupied’ Russia and ‘weakened’ Iran offered ‘window of opportunity’,Andrew Hilliar,https://www.france24.com/en/video/20241130-rebel-forces-claim-aleppo-preoccupied-russia-and-weakened-iran-offered-window-of-opportunity,1,9,71;73,15;19,1;2,170,"Using rapid offensive tactics, the rebel groups in Syria have occupied Aleppo. Experts theorise that the attack is motivated by international political circumstances, significantly the Russia's focus on the war in Ukraine and Iran preoccupied.",4
3,30/11/2024,2,Rebel forces claim Aleppo: Strategic timing of Israel-Hezbollah ceasefire,Wassim Nasr,https://www.france24.com/en/video/20241130-rebel-forces-claim-aleppo-strategic-timing-of-israel-hezbollah-ceasefire,1,9,73,15;19,7;12,170,"Rebel forces, comprised of HTS, Kurdish combatants and other allies, have taken control of Aleppo. Aleppo airport, a significant strategic point, has been taken. Drones and armoured vehicles developed by the rebel forces have been used.",4
4,30/11/2024,2,Rebel forces claim control of Syria's city of Aleppo,,https://www.france24.com/en/video/20241130-rebel-forces-claim-control-of-syria-s-city-of-aleppo,1,9,71;73,15;19,1;2,170,"A majority of Aleppo and Northern Syria as a whole is under the control of the jihadist rebls since they lauched their attack against the Syrian government a three days ago. While many civilians have evacuated, others celebrated the occupation.",4
5,30/11/2024,2,Georgia sees third night of mass protests after ruling party suspends EU talks,,https://www.france24.com/en/europe/20241130-georgia-sees-third-night-of-mass-protests-after-ruling-party-suspends-eu-talks,3,20,70,14,10,64,"Anti-government protests continue in Georgia for a third night. Police responded to the protestors with riot gear, rubber bullets, tear gas and watercannons. President Salmoe Zourabichvili supports the demonstration against an ""illegitmate parliament"".",4
6,30/11/2024,2,Kosovo blames Serbia for blast at key water canal as tensions escalate,,https://www.france24.com/en/europe/20241130-kosovo-blames-serbia-blast-key-water-canal-tensions-escalate,1,19,70,7,1,197,"Critical canal infrastructure was damaged in an explosion in Kosovo. While further details of the attack are still being investigated. The government assigned the attack as terrorism by perpetrated Serbia. In turn, Serbia blamed the Kosovo government.",4
7,30/11/2024,2,Georgian protesters clash with police after govt suspends EU talks,,https://www.france24.com/en/video/20241130-georgian-protesters-clash-with-police-after-suspended-eu-talks,3,20,70,14,10,64,"Political violence continues as police and protestors clash in the demonstrations against the ruling  party. Unrest since the controversial election, the parliament's decide to suspend negotiations with the European Union instigated the protests.",4
8,30/11/2024,2,"Syrian rebels sweep into Aleppo, nearby province in huge setback for Assad",,https://www.france24.com/en/middle-east/20241130-syria-aleppo-airport-closed-as-rebel-group-reaches-heart-of-the-city,1,9,71;73,15;19,1,170,"The Syrian army cited dozens of combatant deaths during the attack on Aleppo. The jihadist rebls have occupied over 50 towns and villages, locations now affected by severe Russian airstrikes. Russia has promised additional weapons.",4
9,30/11/2024,5,"Georgia citizens, diplomats protest after incoming government halts talks on joining EU",,https://www.cbc.ca/news/world/georgia-protests-eu-suspension-1.7396634,3,20,70,14,10,64,The Georgian interior ministry announced 43 people have been detained during the anti-government protests. It also asserted that 32 police officers have been injuried. One of the oppositional parties reported two leaders have been attacked by police.,4
10,30/11/2024,5,Syrian authorities close Aleppo airport after rebels breach city in shock attack,,https://www.cbc.ca/news/world/syria-violence-erupts-aleppo-1.7396756,1,9,71;73,18,1;2,170,"The Syrian government locked down Aleppo airport and all roads leading to Aleppo as the Jihadist rebels reached the city. A key ally of the government, Russia, has promised swift military aid to reinforce Syrian's inadequate defences.",4
11,30/11/2024,9,Syria's Assad vows to defeat 'terrorists' as 'most of' Aleppo controlled by rebels,,https://www.sbs.com.au/news/article/syrias-assad-vows-to-defeat-terrorists-as-most-of-aleppo-controlled-by-rebels/c0pe1jvo2,1,9,71;73,15;18;19,1;2,170,"As the rebels took control of Aleppo airport, and the city of Maraat al Numan, President Bashar al-Assah promised ""his country could defeat all terrorists and their backers"".",4
12,1/12/2024,2,Georgia's pro-EU protests spread as PM rejects calls for new election,,https://www.france24.com/en/live-news/20241201-georgia-pm-rules-out-re-run-of-contested-vote,3,20,70,14,10,64,"As the protests in Georgia continue for a forth day, pro-EU president Salome Zourabichvili demands the constitutional court annul the ruling Georgian Dream party, which she views as illegitimate. Protesters number  in  the 10000s.",4
13,2/12/2024,2,Key points on the rebel gains that reignited Syria's civil war,,https://www.france24.com/en/middle-east/20241202-key-points-on-the-sudden-rebel-gains-reigniting-syria-s-13-year-civil-war,4,13,71;73,19,1,170,"The Assad regime has launched air raids against rebel-controlled Aleppo. Turkey official have states they are working to resolve the conflict, stipulating the opposing sides need to compromise.",4
14,2/12/2024,2,"US, EU call for Syria de-escalation as Assad allies reaffirm support",H. A. Hellyer,https://www.france24.com/en/video/20241202-in-deep-contrast-to-2011-most-governments-in-the-region-don-t-want-assad-to-go,4,13,71,19,1,170,"The United States and European Union called for de-escalation between the jihadist rebels and the Assad-regime. Allies of President Bashar al-Assad reaffirmed their support, including Russia, Iran and Hezbollah. Russian airstrikes are used extensively.",4
15,2/12/2024,2,"US, EU call for Syria de-escalation as Assad allies reaffirm support",Emeral Maxwell,https://www.france24.com/en/live-news/20241202-syria-russia-conduct-deadly-strikes-to-push-back-rebel-advance,4,13,71,15;19,1,170,Russian air raids employed by the Assad-regime in the Iblib provine killed 11 civilians. Nearly 50000 have been displaced since the start of the offensive.,4
16,2/12/2024,2,Iran pledges support for Syria's Assad as rebels advance after taking Aleppo,,https://www.france24.com/en/middle-east/20241201-syrian-army-sends-reinforcements-rebels-aleppo-push-south,4,13,71,19,1;2,170,"Iran has confirmed support for the Syrian President against the rebel offensive. Leaders of Jordan and UAE have also expressed their allegience with the Syrian government. Jets targetted the rebel groups in Idlib and Aleppo, killing at least 15",4
17,1/12/2024,2,Syria: What do these rebel advances tell us about the Syrian government forces?,"Alexander Aucott, Scott Lucas",https://www.france24.com/en/video/20241201-syria-what-do-these-rebel-advances-tell-us-about-the-syrian-government-forces,1,9,73,15;19,1;2;7,170,"The jihadist rebels made an advance into Hama province after Aleppo. The Syrian regime is described as fragile, especially without the backing ot its powerful allies, Russia and Iran, whose preoccupation motivated the offensive.",4
18,1/12/2024,2,Georgia sees third night of mass protests after ruling party suspends EU talks,Charlotte Hughes,https://www.france24.com/en/video/20241201-georgia-sees-third-night-of-mass-protests-after-ruling-party-suspends-eu-talks,3,20,70,14,10,64,"Demonstrations against the Georian government decide to suspend EU talks continues for a third night. Police have employed riot gear, rubber bullets, tear gas and water cannons. The Prime Minister called the protest a revolution doomed to fail.",4
19,1/12/2024,2,Spain: Ten of thousands protest in Valencia against the authorities' handling of floods,Matthew-Mary Caruchet,https://www.france24.com/en/video/20241201-spain-ten-of-thousands-protest-in-valencia-against-the-authorities-handling-of-floods,3,20,70,14,10,164,"Approximately 100000 people gathered for protests in Valencia, calling for the resignition of the regional president. His alleged negligence contributed to the deaths of at least 230 people and thousands of destroyed homes in flooding last month.",4
20,1/12/2024,2,Syrian army sends in reinforcements after rebels take Aleppo,Emily Boyle,https://www.france24.com/en/video/20241201-syrian-army-sends-in-reinforcements-after-rebels-take-aleppo,1,9,73,6;18;19,2;7,170,Aleppo has been seized by the jihadist rebels after only a few days of lightning offensive. Key buildings including the governorate and airport are occupied. Aerial strikes were deployed by the Assad-regime in an attempt to inhibit the advance.,4
21,1/12/2024,2,Syrian rebels sweep into Aleppo in huge setback for Assad,,https://www.france24.com/en/video/20241201-syrian-rebels-sweep-into-aleppo-in-huge-setback-for-assad,1,9,73,15;19,1;2,170,Renewed fighting in Syria has taken place after the rebel groups seized Aleppo and around locations before the Syrian military retaliated with counterattack airstrikes.,4
22,1/12/2024,5,Syrian rebels storm into Aleppo in largest assault on the city in years,,https://www.cbc.ca/news/world/syria-rebels-aleppo-1.7397936,1,9,73,15;19,1;2,170,The Syrian army cited dozens of combatant deaths during the attack on Aleppo. The rebel groups have also captured the city of Maarat al-Numan. Military sources assert aid will arrive from Russia within 72 hours to augment the effective Russian airforce.,4
23,1/12/2024,9,What is happening in Syria and how did rebels gain control of Aleppo city?,,https://www.sbs.com.au/news/article/what-is-happening-in-syria-and-how-did-rebels-gain-control-of-aleppo-city/mwxn6qusa,1,9,73,15;19,1;2,170,"The defence in Aleppo is described as inadequate after the rebel forces take majority control. With its allies preoccupied, the Assad regime has crumbled. However, Russian air cover has inflicted significant damage, including civilian casualties.",4
24,2/12/2024,2,"ICC president hits back at 'attacks', 'threats'","Morgan Ayre, Sharon Gaffney, Anthony Dworkin",https://www.france24.com/en/video/20241202-icc-president-hits-back-at-attacks-threats,4,19,71,20,,123,"Attacks and threats made against the International Criminal Court following the arrest warrant filed for the Isreali prime minister. It expressed criticism of the United States and Russia for interferring, acts including arrest warrants for ICC members.",4
25,2/12/2024,2,"Georgians fear losing European future more than police brutality, analyst says","Selin Sykes, Tina Dolbaya",https://www.france24.com/en/video/20241202-georgians-fear-losing-european-future-more-than-police-brutality-analyst-says,3,20,71,14,10,64,At least 200 people have been detained during the nationwide protests in Georgia. Some demonstrators and journalists have experienced severve violence perpetrated by the police. The Prime Minister has refused all negotiations.,4
